countyFIPS	deaths	type	days_since_first_death
01101	4.0	observed	25
01101	4.0	observed	26
01101	5.0	observed	27
01101	5.0	observed	28
01101	6.0	observed	29
01101	6.0	observed	30
01101	6.0	observed	31
01101	6.0	observed	32
01101	7.0	observed	33
01101	8.0	observed	34
01101	8.0	observed	35
01101	12.0	observed	36
01101	13.0	observed	37
01101	15.0	observed	38
01101	15.0	observed	39
01101	15.0	observed	40
01101	15.0	observed	41
01107	1.0	observed	0
01107	1.0	observed	1
01107	1.0	observed	2
01107	1.0	observed	3
01107	1.0	observed	4
01107	1.0	observed	5
01107	1.0	observed	6
01107	1.0	observed	7
01107	1.0	observed	8
01107	2.0	observed	9
01107	2.0	observed	10
01107	2.0	observed	11
01107	2.0	observed	12
01107	2.0	observed	13
01107	2.0	observed	14
01107	2.0	observed	15
01107	2.0	observed	16
01107	2.0	observed	17
01107	2.0	observed	18
01107	2.0	observed	19
01111	1.0	observed	0
01111	1.0	observed	1
01111	1.0	observed	2
01111	1.0	observed	3
01111	1.0	observed	4
01111	1.0	observed	5
01111	1.0	observed	6
01111	2.0	observed	7
01111	2.0	observed	8
01111	2.0	observed	9
01111	3.0	observed	10
01111	3.0	observed	11
01111	3.0	observed	12
01111	3.0	observed	13
01111	3.0	observed	14
01111	3.0	observed	15
01111	3.0	observed	16
01111	3.0	observed	17
01111	3.0	observed	18
01111	4.0	observed	19
01111	4.0	observed	20
01111	4.0	observed	21
01111	4.0	observed	22
01111	4.0	observed	23
01111	4.0	observed	24
01111	4.0	observed	25
01111	4.0	observed	26
01111	4.0	observed	27
01111	4.0	observed	28
01111	4.0	observed	29
01111	4.0	observed	30
01111	4.0	observed	31
01111	5.0	observed	32
01111	6.0	observed	33
01111	6.0	observed	34
01111	6.0	observed	35
01111	7.0	observed	36
01111	7.0	observed	37
01115	1.0	observed	0
01115	1.0	observed	1
01115	1.0	observed	2
01115	1.0	observed	3
01115	1.0	observed	4
01115	1.0	observed	5
01117	2.0	observed	0
01117	2.0	observed	1
01117	2.0	observed	2
01117	3.0	observed	3
01117	4.0	observed	4
01117	5.0	observed	5
01117	5.0	observed	6
01117	5.0	observed	7
01117	5.0	observed	8
01117	5.0	observed	9
01117	5.0	observed	10
01117	5.0	observed	11
01117	5.0	observed	12
01117	5.0	observed	13
01117	5.0	observed	14
01117	5.0	observed	15
01117	5.0	observed	16
01117	5.0	observed	17
01117	6.0	observed	18
01117	6.0	observed	19
01117	6.0	observed	20
01117	6.0	observed	21
01117	6.0	observed	22
01117	7.0	observed	23
01117	7.0	observed	24
01117	8.0	observed	25
01117	9.0	observed	26
01117	9.0	observed	27
01117	10.0	observed	28
01117	11.0	observed	29
01117	12.0	observed	30
01117	13.0	observed	31
01117	13.0	observed	32
01117	13.0	observed	33
01117	13.0	observed	34
01117	13.0	observed	35
01117	16.0	observed	36
01117	16.0	observed	37
01117	17.0	observed	38
01117	17.0	observed	39
01117	17.0	observed	40
01117	17.0	observed	41
01119	1.0	observed	0
01119	1.0	observed	1
01119	1.0	observed	2
01119	2.0	observed	3
01119	2.0	observed	4
01119	2.0	observed	5
01119	2.0	observed	6
01119	2.0	observed	7
01119	3.0	observed	8
01119	3.0	observed	9
01119	3.0	observed	10
01119	3.0	observed	11
01119	3.0	observed	12
01119	4.0	observed	13
01119	4.0	observed	14
